Geneid	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig
EGFP	1.7   	6.9e-16	TRUE	1.7   	7.8e-16	TRUE	-0.011	1     	FALSE
Glyma.01G000100.Wm82.a4.v1	-0.31 	1     	FALSE	-0.39 	0.77  	FALSE	-0.086	1     	FALSE
Glyma.01G000137.Wm82.a4.v1	-0.016	1     	FALSE	-0.12 	0.99  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G000174.Wm82.a4.v1	-0.26 	1     	FALSE	-0.019	1     	FALSE	0.24  	0.99  	FALSE
Glyma.01G000211.Wm82.a4.v1	-0.31 	1     	FALSE	-0.16 	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G000285.Wm82.a4.v1	0.085 	1     	FALSE	0.13  	0.98  	FALSE	0.049 	1     	FALSE
Glyma.01G000322.Wm82.a4.v1	-0.091	1     	FALSE	0.072 	NA    	NA	0.16  	0.99  	FALSE
Glyma.01G000359.Wm82.a4.v1	-0.086	1     	FALSE	-0.019	1     	FALSE	0.067 	1     	FALSE
Glyma.01G000400.Wm82.a4.v1	-0.0038	1     	FALSE	-0.026	0.99  	FALSE	-0.022	1     	FALSE
Glyma.01G000600.Wm82.a4.v1	0.098 	1     	FALSE	0.11  	0.99  	FALSE	0.012 	1     	FALSE
Glyma.01G000900.Wm82.a4.v1	0.018 	1     	FALSE	0.17  	0.97  	FALSE	0.16  	0.99  	FALSE
Glyma.01G001000.Wm82.a4.v1	0.0026	1     	FALSE	-0.027	0.99  	FALSE	-0.03 	1     	FALSE
Glyma.01G001100.Wm82.a4.v1	0.11  	1     	FALSE	0.19  	0.97  	FALSE	0.078 	0.99  	FALSE
Glyma.01G001200.Wm82.a4.v1	-0.087	1     	FALSE	-0.12 	0.99  	FALSE	-0.031	1     	FALSE
Glyma.01G001300.Wm82.a4.v1	0.12  	1     	FALSE	0.18  	0.96  	FALSE	0.059 	0.99  	FALSE
Glyma.01G001450.Wm82.a4.v1	0.047 	NA    	NA	0.021 	NA    	NA	-0.026	NA    	NA
Glyma.01G001500.Wm82.a4.v1	-0.23 	1     	FALSE	-0.023	1     	FALSE	0.2   	0.99  	FALSE
Glyma.01G001600.Wm82.a4.v1	0.01  	1     	FALSE	0.032 	0.99  	FALSE	0.022 	1     	FALSE
Glyma.01G001700.Wm82.a4.v1	-0.095	1     	FALSE	-0.027	0.99  	FALSE	0.068 	1     	FALSE
Glyma.01G001800.Wm82.a4.v1	0.14  	1     	FALSE	0.077 	NA    	NA	-0.06 	0.99  	FALSE
Glyma.01G001900.Wm82.a4.v1	-0.27 	0.97  	FALSE	-0.092	NA    	NA	0.17  	0.99  	FALSE
Glyma.01G002000.Wm82.a4.v1	0.056 	1     	FALSE	-0.19 	0.98  	FALSE	-0.24 	0.99  	FALSE
Glyma.01G002100.Wm82.a4.v1	-0.011	1     	FALSE	0.02  	1     	FALSE	0.03  	1     	FALSE
Glyma.01G002200.Wm82.a4.v1	-0.21 	1     	FALSE	-0.21 	0.96  	FALSE	-0.0023	1     	FALSE
Glyma.01G002300.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G002400.Wm82.a4.v1	-0.11 	1     	FALSE	-0.13 	0.98  	FALSE	-0.014	1     	FALSE
Glyma.01G002501.Wm82.a4.v1	0.027 	NA    	NA	0.039 	NA    	NA	0.012 	NA    	NA
Glyma.01G002600.Wm82.a4.v1	0.42  	0.54  	FALSE	0.43  	0.44  	FALSE	0.0015	1     	FALSE
Glyma.01G002700.Wm82.a4.v1	-0.18 	1     	FALSE	-0.15 	0.98  	FALSE	0.032 	1     	FALSE
Glyma.01G002800.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G002902.Wm82.a4.v1	-0.13 	1     	FALSE	-0.34 	0.77  	FALSE	-0.21 	0.99  	FALSE
Glyma.01G003000.Wm82.a4.v1	-0.11 	1     	FALSE	-0.12 	0.99  	FALSE	-0.0026	1     	FALSE
Glyma.01G003100.Wm82.a4.v1	0.01  	1     	FALSE	-0.16 	0.98  	FALSE	-0.17 	0.99  	FALSE
Glyma.01G003200.Wm82.a4.v1	-0.063	1     	FALSE	-0.14 	0.98  	FALSE	-0.074	0.99  	FALSE
Glyma.01G003300.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G003400.Wm82.a4.v1	0.16  	1     	FALSE	0.19  	0.98  	FALSE	0.025 	1     	FALSE
Glyma.01G003450.Wm82.a4.v1	-0.024	1     	FALSE	0.03  	0.99  	FALSE	0.054 	1     	FALSE
Glyma.01G003500.Wm82.a4.v1	0.016 	NA    	NA	-0.015	NA    	NA	-0.031	NA    	NA
Glyma.01G003600.Wm82.a4.v1	0.051 	1     	FALSE	0.024 	1     	FALSE	-0.027	1     	FALSE
Glyma.01G003700.Wm82.a4.v1	0.13  	1     	FALSE	0.0099	1     	FALSE	-0.12 	0.99  	FALSE
Glyma.01G003800.Wm82.a4.v1	0.0065	1     	FALSE	-0.0056	1     	FALSE	-0.012	1     	FALSE
Glyma.01G003900.Wm82.a4.v1	0.004 	1     	FALSE	-0.11 	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004000.Wm82.a4.v1	-0.087	1     	FALSE	-0.071	0.99  	FALSE	0.016 	1     	FALSE
Glyma.01G004100.Wm82.a4.v1	-0.067	1     	FALSE	0.034 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.01G004200.Wm82.a4.v1	-0.14 	1     	FALSE	-0.26 	0.93  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004300.Wm82.a4.v1	0.074 	1     	FALSE	-0.22 	0.97  	FALSE	-0.29 	0.99  	FALSE
Glyma.01G004500.Wm82.a4.v1	-0.021	1     	FALSE	-0.12 	0.98  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G004600.Wm82.a4.v1	-0.12 	1     	FALSE	-0.23 	0.96  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G004700.Wm82.a4.v1	0.17  	1     	FALSE	-0.098	0.99  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G004800.Wm82.a4.v1	0.41  	0.56  	FALSE	0.63  	0.045 	TRUE	0.21  	0.99  	FALSE
Glyma.01G005000.Wm82.a4.v1	-0.16 	1     	FALSE	-0.06 	0.99  	FALSE	0.1   	0.99  	FALSE
Glyma.01G005100.Wm82.a4.v1	-0.24 	1     	FALSE	0.078 	0.98  	FALSE	0.32  	0.99  	FALSE
Glyma.01G005200.Wm82.a4.v1	-0.14 	1     	FALSE	-0.11 	0.99  	FALSE	0.032 	1     	FALSE
Glyma.01G005300.Wm82.a4.v1	0.023 	1     	FALSE	-0.13 	0.98  	FALSE	-0.15 	0.99  	FALSE
Glyma.01G005400.Wm82.a4.v1	-0.27 	1     	FALSE	-0.13 	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.01G005500.Wm82.a4.v1	0.014 	1     	FALSE	0.26  	0.96  	FALSE	0.24  	0.99  	FALSE
Glyma.01G005600.Wm82.a4.v1	-0.019	1     	FALSE	0.1   	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.01G005800.Wm82.a4.v1	-0.14 	1     	FALSE	-0.22 	0.97  	FALSE	-0.074	1     	FALSE
Glyma.01G005900.Wm82.a4.v1	0.018 	NA    	NA	0.015 	NA    	NA	0     	NA    	NA
Glyma.01G006000.Wm82.a4.v1	-0.43 	0.62  	FALSE	-0.35 	0.73  	FALSE	0.082 	1     	FALSE
Glyma.01G006100.Wm82.a4.v1	-0.21 	1     	FALSE	-0.038	0.99  	FALSE	0.17  	0.99  	FALSE
Glyma.01G006200.Wm82.a4.v1	-0.022	1     	FALSE	-0.29 	0.94  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G006400.Wm82.a4.v1	0.14  	1     	FALSE	0.1   	0.99  	FALSE	-0.043	1     	FALSE
Glyma.01G006500.Wm82.a4.v1	-0.29 	1     	FALSE	-0.19 	0.98  	FALSE	0.1   	0.99  	FALSE
Glyma.01G006600.Wm82.a4.v1	-0.09 	1     	FALSE	0.28  	0.93  	FALSE	0.37  	0.99  	FALSE
Glyma.01G006700.Wm82.a4.v1	0.019 	1     	FALSE	0.16  	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G006800.Wm82.a4.v1	0.21  	1     	FALSE	0.15  	0.98  	FALSE	-0.056	1     	FALSE
Glyma.01G006900.Wm82.a4.v1	-0.061	1     	FALSE	-0.022	0.99  	FALSE	0.039 	1     	FALSE
Glyma.01G007000.Wm82.a4.v1	-0.0048	1     	FALSE	0.18  	0.98  	FALSE	0.19  	0.99  	FALSE
Glyma.01G007100.Wm82.a4.v1	0.12  	1     	FALSE	0.33  	0.88  	FALSE	0.2   	0.99  	FALSE
Glyma.01G007200.Wm82.a4.v1	0.18  	1     	FALSE	0.14  	0.97  	FALSE	-0.034	1     	FALSE
Glyma.01G007300.Wm82.a4.v1	0.22  	0.89  	FALSE	0.36  	0.13  	FALSE	0.14  	0.99  	FALSE
Glyma.01G007400.Wm82.a4.v1	-0.12 	1     	FALSE	-0.07 	0.99  	FALSE	0.051 	1     	FALSE
Glyma.01G007500.Wm82.a4.v1	-0.084	1     	FALSE	0.32  	0.87  	FALSE	0.41  	0.99  	FALSE
Glyma.01G007600.Wm82.a4.v1	0.022 	1     	FALSE	-0.012	NA    	NA	-0.034	1     	FALSE
Glyma.01G007700.Wm82.a4.v1	0.21  	1     	FALSE	0.29  	0.89  	FALSE	0.074 	1     	FALSE
Glyma.01G007800.Wm82.a4.v1	0.21  	1     	FALSE	0.1   	0.99  	FALSE	-0.11 	0.99  	FALSE
Glyma.01G007900.Wm82.a4.v1	-0.0014	NA    	NA	-0.0047	NA    	NA	-0.0033	NA    	NA
Glyma.01G008000.Wm82.a4.v1	-0.057	1     	FALSE	-0.26 	0.92  	FALSE	-0.2  	0.99  	FALSE
Glyma.01G008100.Wm82.a4.v1	0.053 	1     	FALSE	0.023 	1     	FALSE	-0.031	1     	FALSE
Glyma.01G008200.Wm82.a4.v1	0.58  	0.36  	FALSE	0.42  	0.78  	FALSE	-0.16 	0.99  	FALSE
Glyma.01G008400.Wm82.a4.v1	-0.32 	0.84  	FALSE	-0.22 	0.94  	FALSE	0.098 	0.99  	FALSE
Glyma.01G008500.Wm82.a4.v1	-0.084	1     	FALSE	-0.099	0.98  	FALSE	-0.016	1     	FALSE
Glyma.01G008600.Wm82.a4.v1	-0.014	1     	FALSE	0.078 	0.99  	FALSE	0.092 	0.99  	FALSE
Glyma.01G008700.Wm82.a4.v1	-0.5  	0.41  	FALSE	-0.49 	0.36  	FALSE	0.0024	1     	FALSE
Glyma.01G008800.Wm82.a4.v1	0.12  	1     	FALSE	-0.21 	0.98  	FALSE	-0.33 	0.99  	FALSE
Glyma.01G008900.Wm82.a4.v1	0.042 	1     	FALSE	0.21  	0.92  	FALSE	0.17  	0.99  	FALSE
Glyma.01G009000.Wm82.a4.v1	-0.013	1     	FALSE	-0.12 	0.99  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G009100.Wm82.a4.v1	0.036 	NA    	NA	-0.02 	NA    	NA	-0.056	NA    	NA
Glyma.01G009200.Wm82.a4.v1	0.26  	1     	FALSE	0.13  	0.99  	FALSE	-0.14 	0.99  	FALSE
Glyma.01G009300.Wm82.a4.v1	0.00052	1     	FALSE	0.051 	0.99  	FALSE	0.05  	1     	FALSE
Glyma.01G009400.Wm82.a4.v1	-0.25 	1     	FALSE	-0.15 	0.99  	FALSE	0.11  	0.99  	FALSE
Glyma.01G009500.Wm82.a4.v1	0.061 	1     	FALSE	-0.002	1     	FALSE	-0.063	0.99  	FALSE
Glyma.01G009600.Wm82.a4.v1	0.16  	1     	FALSE	-0.075	0.99  	FALSE	-0.24 	0.99  	FALSE
Glyma.01G009700.Wm82.a4.v1	0.093 	1     	FALSE	0.058 	0.99  	FALSE	-0.035	1     	FALSE
Glyma.01G009800.Wm82.a4.v1	0.11  	1     	FALSE	-0.037	0.99  	FALSE	-0.15 	0.99  	FALSE
Glyma.01G009900.Wm82.a4.v1	-0.067	1     	FALSE	0.24  	0.95  	FALSE	0.31  	0.99  	FALSE
Glyma.01G010000.Wm82.a4.v1	-0.042	1     	FALSE	-0.082	0.99  	FALSE	-0.04 	1     	FALSE
Glyma.01G010100.Wm82.a4.v1	0.019 	1     	FALSE	0.23  	0.94  	FALSE	0.21  	0.99  	FALSE
Glyma.01G010200.Wm82.a4.v1	0.048 	1     	FALSE	0.2   	0.96  	FALSE	0.15  	0.99  	FALSE
Glyma.01G010300.Wm82.a4.v1	0.098 	1     	FALSE	0.049 	0.99  	FALSE	-0.049	1     	FALSE
Glyma.01G010400.Wm82.a4.v1	0.0096	1     	FALSE	0.17  	0.97  	FALSE	0.16  	0.99  	FALSE
Glyma.01G010500.Wm82.a4.v1	-0.062	1     	FALSE	-0.1  	0.99  	FALSE	-0.043	1     	FALSE
Glyma.01G010600.Wm82.a4.v1	0.065 	1     	FALSE	-0.09 	0.99  	FALSE	-0.15 	0.99  	FALSE
Glyma.01G010700.Wm82.a4.v1	-0.2  	1     	FALSE	0.09  	0.99  	FALSE	0.29  	0.99  	FALSE
Glyma.01G010800.Wm82.a4.v1	-0.088	1     	FALSE	-0.093	0.99  	FALSE	-0.0042	1     	FALSE
Glyma.01G010900.Wm82.a4.v1	-0.18 	1     	FALSE	-0.086	0.99  	FALSE	0.089 	0.99  	FALSE
Glyma.01G011000.Wm82.a4.v1	0.097 	1     	FALSE	0.017 	1     	FALSE	-0.08 	1     	FALSE
Glyma.01G011100.Wm82.a4.v1	0.065 	1     	FALSE	-0.075	0.99  	FALSE	-0.14 	0.99  	FALSE
Glyma.01G011200.Wm82.a4.v1	0.053 	1     	FALSE	0.15  	0.96  	FALSE	0.097 	0.99  	FALSE
Glyma.01G011300.Wm82.a4.v1	0.027 	1     	FALSE	0.031 	0.99  	FALSE	0.0033	1     	FALSE
Glyma.01G011400.Wm82.a4.v1	0.088 	1     	FALSE	-0.18 	0.98  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G011500.Wm82.a4.v1	-0.17 	1     	FALSE	0.011 	1     	FALSE	0.18  	0.99  	FALSE
Glyma.01G011600.Wm82.a4.v1	-0.28 	1     	FALSE	-0.24 	0.97  	FALSE	0.033 	1     	FALSE
Glyma.01G011700.Wm82.a4.v1	-0.11 	1     	FALSE	-0.022	1     	FALSE	0.091 	0.99  	FALSE
Glyma.01G011800.Wm82.a4.v1	-0.014	1     	FALSE	-0.038	0.99  	FALSE	-0.024	1     	FALSE
Glyma.01G011900.Wm82.a4.v1	0.047 	1     	FALSE	0.026 	0.99  	FALSE	-0.021	1     	FALSE
Glyma.01G012000.Wm82.a4.v1	0.036 	NA    	NA	0.051 	NA    	NA	0.015 	NA    	NA
Glyma.01G012100.Wm82.a4.v1	0.021 	NA    	NA	0.0065	NA    	NA	-0.015	NA    	NA
Glyma.01G012200.Wm82.a4.v1	0.0015	1     	FALSE	0.074 	0.99  	FALSE	0.073 	1     	FALSE
Glyma.01G012300.Wm82.a4.v1	-0.17 	1     	FALSE	-0.27 	0.94  	FALSE	-0.1  	0.99  	FALSE
Glyma.01G012400.Wm82.a4.v1	0.032 	1     	FALSE	0.081 	0.99  	FALSE	0.048 	1     	FALSE
Glyma.01G012500.Wm82.a4.v1	0.031 	1     	FALSE	0.17  	0.97  	FALSE	0.14  	0.99  	FALSE
Glyma.01G012700.Wm82.a4.v1	-0.12 	1     	FALSE	-0.3  	0.91  	FALSE	-0.18 	0.99  	FALSE
Glyma.01G012800.Wm82.a4.v1	-0.11 	1     	FALSE	-0.12 	0.99  	FALSE	-0.0039	1     	FALSE
Glyma.01G013000.Wm82.a4.v1	-0.046	1     	FALSE	-0.39 	0.79  	FALSE	-0.35 	0.99  	FALSE
Glyma.01G013100.Wm82.a4.v1	0.21  	1     	FALSE	0.3   	0.93  	FALSE	0.087 	0.99  	FALSE
Glyma.01G013200.Wm82.a4.v1	0.041 	1     	FALSE	0.19  	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G013300.Wm82.a4.v1	0.053 	1     	FALSE	0.065 	0.99  	FALSE	0.012 	1     	FALSE
Glyma.01G013500.Wm82.a4.v1	0.018 	NA    	NA	0.015 	NA    	NA	0     	NA    	NA
Glyma.01G013600.Wm82.a4.v1	-0.11 	1     	FALSE	0.037 	0.99  	FALSE	0.14  	0.99  	FALSE
Glyma.01G013800.Wm82.a4.v1	0.0052	1     	FALSE	0.14  	0.98  	FALSE	0.14  	0.99  	FALSE
Glyma.01G013900.Wm82.a4.v1	-0.11 	1     	FALSE	-0.093	0.99  	FALSE	0.016 	1     	FALSE
Glyma.01G014000.Wm82.a4.v1	0.3   	1     	FALSE	0.35  	0.73  	FALSE	0.048 	1     	FALSE
Glyma.01G014100.Wm82.a4.v1	0.022 	1     	FALSE	-0.35 	0.84  	FALSE	-0.37 	0.99  	FALSE
Glyma.01G014200.Wm82.a4.v1	-0.11 	1     	FALSE	0.17  	0.98  	FALSE	0.27  	0.99  	FALSE
Glyma.01G014400.Wm82.a4.v1	-0.17 	1     	FALSE	-0.077	0.99  	FALSE	0.094 	0.99  	FALSE
Glyma.01G014500.Wm82.a4.v1	-0.12 	1     	FALSE	-0.11 	0.99  	FALSE	0.0085	1     	FALSE
Glyma.01G014700.Wm82.a4.v1	-0.051	1     	FALSE	-0.028	0.99  	FALSE	0.023 	1     	FALSE
Glyma.01G014800.Wm82.a4.v1	0.21  	1     	FALSE	0.024 	1     	FALSE	-0.19 	0.99  	FALSE
Glyma.01G014900.Wm82.a4.v1	-0.14 	1     	FALSE	-0.34 	0.82  	FALSE	-0.19 	0.99  	FALSE
Glyma.01G015000.Wm82.a4.v1	-0.022	1     	FALSE	0.028 	0.99  	FALSE	0.051 	0.99  	FALSE
Glyma.01G015100.Wm82.a4.v1	0.18  	1     	FALSE	0.24  	0.96  	FALSE	0.066 	1     	FALSE
Glyma.01G015200.Wm82.a4.v1	-0.15 	1     	FALSE	-0.083	0.99  	FALSE	0.071 	1     	FALSE
Glyma.01G015300.Wm82.a4.v1	-0.085	1     	FALSE	-0.15 	0.98  	FALSE	-0.065	1     	FALSE
Glyma.01G015400.Wm82.a4.v1	0.26  	1     	FALSE	-0.017	1     	FALSE	-0.28 	0.99  	FALSE
Glyma.01G015500.Wm82.a4.v1	0.0095	1     	FALSE	-0.11 	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G015600.Wm82.a4.v1	-0.01 	1     	FALSE	0.019 	1     	FALSE	0.029 	1     	FALSE
Glyma.01G015700.Wm82.a4.v1	-0.13 	1     	FALSE	0.055 	0.99  	FALSE	0.19  	0.99  	FALSE
Glyma.01G015900.Wm82.a4.v1	-0.075	1     	FALSE	-0.071	0.99  	FALSE	0.0042	1     	FALSE
Glyma.01G016000.Wm82.a4.v1	-0.1  	1     	FALSE	0.034 	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.01G016100.Wm82.a4.v1	-0.22 	1     	FALSE	0.066 	0.99  	FALSE	0.29  	0.99  	FALSE
Glyma.01G016200.Wm82.a4.v1	-0.091	1     	FALSE	-0.12 	0.99  	FALSE	-0.027	1     	FALSE
Glyma.01G016300.Wm82.a4.v1	-0.22 	1     	FALSE	-0.23 	0.97  	FALSE	-0.0032	1     	FALSE
Glyma.01G016400.Wm82.a4.v1	0.017 	1     	FALSE	-0.059	0.99  	FALSE	-0.077	0.99  	FALSE
Glyma.01G016500.Wm82.a4.v1	0.58  	0.23  	FALSE	0.35  	0.89  	FALSE	-0.22 	0.99  	FALSE
Glyma.01G016600.Wm82.a4.v1	-0.062	1     	FALSE	-0.033	0.99  	FALSE	0.029 	1     	FALSE
Glyma.01G016800.Wm82.a4.v1	-0.2  	1     	FALSE	-0.22 	0.96  	FALSE	-0.027	1     	FALSE
Glyma.01G016900.Wm82.a4.v1	0.1   	1     	FALSE	0.023 	0.99  	FALSE	-0.078	0.99  	FALSE
Glyma.01G017000.Wm82.a4.v1	0.38  	0.41  	FALSE	0.43  	0.19  	FALSE	0.05  	1     	FALSE
Glyma.01G017100.Wm82.a4.v1	0.17  	1     	FALSE	0.29  	0.86  	FALSE	0.12  	0.99  	FALSE
Glyma.01G017300.Wm82.a4.v1	0.013 	1     	FALSE	-0.28 	0.95  	FALSE	-0.3  	0.99  	FALSE
Glyma.01G017400.Wm82.a4.v1	-0.26 	1     	FALSE	-0.43 	0.57  	FALSE	-0.17 	0.99  	FALSE
Glyma.01G017700.Wm82.a4.v1	-0.23 	1     	FALSE	-0.091	0.99  	FALSE	0.14  	0.99  	FALSE
Glyma.01G017800.Wm82.a4.v1	0.15  	1     	FALSE	-0.056	0.99  	FALSE	-0.2  	0.99  	FALSE
Glyma.01G017900.Wm82.a4.v1	0.011 	1     	FALSE	0.076 	0.99  	FALSE	0.065 	1     	FALSE
Glyma.01G018000.Wm82.a4.v1	-0.46 	0.63  	FALSE	-0.41 	0.67  	FALSE	0.054 	1     	FALSE
Glyma.01G018100.Wm82.a4.v1	0.093 	1     	FALSE	0.033 	0.99  	FALSE	-0.06 	1     	FALSE
Glyma.01G018200.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.01G018300.Wm82.a4.v1	0.18  	1     	FALSE	0.045 	0.99  	FALSE	-0.14 	0.99  	FALSE
Glyma.01G018400.Wm82.a4.v1	-0.013	1     	FALSE	0.058 	0.99  	FALSE	0.071 	0.99  	FALSE
Glyma.01G018500.Wm82.a4.v1	0.0081	NA    	NA	0.0058	NA    	NA	0     	NA    	NA
Glyma.01G018600.Wm82.a4.v1	-0.11 	1     	FALSE	-0.19 	0.97  	FALSE	-0.08 	0.99  	FALSE
Glyma.01G018700.Wm82.a4.v1	-0.027	1     	FALSE	-0.16 	0.98  	FALSE	-0.13 	0.99  	FALSE
Glyma.01G018800.Wm82.a4.v1	-0.084	1     	FALSE	-0.11 	0.99  	FALSE	-0.027	1     	FALSE
Glyma.01G018900.Wm82.a4.v1	-0.21 	1     	FALSE	-0.055	0.99  	FALSE	0.15  	0.99  	FALSE
Glyma.01G019000.Wm82.a4.v1	-0.25 	1     	FALSE	-0.21 	0.93  	FALSE	0.033 	1     	FALSE
Glyma.01G019100.Wm82.a4.v1	-0.36 	0.9   	FALSE	-0.24 	0.96  	FALSE	0.12  	0.99  	FALSE
Glyma.01G019200.Wm82.a4.v1	0.19  	1     	FALSE	0.34  	0.59  	FALSE	0.15  	0.99  	FALSE
Glyma.01G019300.Wm82.a4.v1	0.052 	1     	FALSE	-0.13 	0.99  	FALSE	-0.18 	0.99  	FALSE
Glyma.01G019400.Wm82.a4.v1	-0.16 	1     	FALSE	-0.18 	0.96  	FALSE	-0.023	1     	FALSE
Glyma.01G019500.Wm82.a4.v1	-0.34 	0.75  	FALSE	-0.37 	0.5   	FALSE	-0.032	1     	FALSE
Glyma.01G019600.Wm82.a4.v1	-0.17 	1     	FALSE	-0.045	0.99  	FALSE	0.13  	0.99  	FALSE
Glyma.01G019700.Wm82.a4.v1	-0.092	1     	FALSE	-0.18 	0.97  	FALSE	-0.091	0.99  	FALSE
Glyma.01G019800.Wm82.a4.v1	0.048 	1     	FALSE	0.16  	0.98  	FALSE	0.11  	0.99  	FALSE
Glyma.01G019900.Wm82.a4.v1	-0.071	1     	FALSE	-0.17 	0.98  	FALSE	-0.097	0.99  	FALSE
Glyma.01G020100.Wm82.a4.v1	0.033 	1     	FALSE	0.24  	0.9   	FALSE	0.21  	0.99  	FALSE
Glyma.01G020200.Wm82.a4.v1	-0.028	1     	FALSE	-0.3  	0.93  	FALSE	-0.27 	0.99  	FALSE
Glyma.01G020300.Wm82.a4.v1	0.11  	1     	FALSE	0.17  	0.98  	FALSE	0.056 	1     	FALSE
Glyma.01G020400.Wm82.a4.v1	-0.1  	1     	FALSE	-0.16 	0.98  	FALSE	-0.061	1     	FALSE
Glyma.01G020450.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.01G020500.Wm82.a4.v1	0.014 	1     	FALSE	-0.023	1     	FALSE	-0.037	1     	FALSE
Glyma.01G020600.Wm82.a4.v1	0.095 	NA    	NA	0.11  	NA    	NA	0.018 	NA    	NA
Glyma.01G020700.Wm82.a4.v1	0.097 	1     	FALSE	0.2   	0.97  	FALSE	0.11  	0.99  	FALSE
Glyma.01G020800.Wm82.a4.v1	-0.033	1     	FALSE	0.11  	0.98  	FALSE	0.15  	0.99  	FALSE
Glyma.01G020900.Wm82.a4.v1	-0.14 	1     	FALSE	-0.027	0.99  	FALSE	0.12  	0.99  	FALSE
Glyma.01G021000.Wm82.a4.v1	0.18  	NA    	NA	0.13  	NA    	NA	-0.052	NA    	NA
Glyma.01G021100.Wm82.a4.v1	0.023 	NA    	NA	0.011 	NA    	NA	-0.012	NA    	NA
Glyma.01G021200.Wm82.a4.v1	0.076 	1     	FALSE	0.21  	0.97  	FALSE	0.13  	0.99  	FALSE
Glyma.01G021301.Wm82.a4.v1	-0.27 	1     	FALSE	-0.2  	0.97  	FALSE	0.076 	0.99  	FALSE
Glyma.01G021400.Wm82.a4.v1	0.043 	1     	FALSE	-0.074	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.01G021450.Wm82.a4.v1	-0.042	NA    	NA	0.022 	NA    	NA	0.065 	NA    	NA
Glyma.01G021500.Wm82.a4.v1	-0.034	1     	FALSE	0.12  	NA    	NA	0.15  	0.99  	FALSE
Glyma.01G021600.Wm82.a4.v1	-0.12 	1     	FALSE	-0.07 	0.99  	FALSE	0.046 	1     	FALSE
Glyma.01G021700.Wm82.a4.v1	-0.063	1     	FALSE	-0.19 	0.96  	FALSE	-0.13 	0.99  	FALSE
Glyma.01G021800.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.01G022100.Wm82.a4.v1	0.23  	1     	FALSE	0.037 	0.99  	FALSE	-0.2  	0.99  	FALSE
Glyma.01G022300.Wm82.a4.v1	-0.058	1     	FALSE	0.013 	NA    	NA	0.072 	0.99  	FALSE
Glyma.01G022400.Wm82.a4.v1	-0.43 	0.49  	FALSE	-0.25 	0.92  	FALSE	0.18  	0.99  	FALSE
Glyma.01G022500.Wm82.a4.v1	-0.1  	1     	FALSE	-0.085	0.99  	FALSE	0.017 	1     	FALSE
Glyma.01G022600.Wm82.a4.v1	0.27  	1     	FALSE	0.21  	0.97  	FALSE	-0.06 	1     	FALSE
Glyma.01G022700.Wm82.a4.v1	-0.22 	1     	FALSE	0.061 	0.99  	FALSE	0.28  	0.99  	FALSE
Glyma.01G022800.Wm82.a4.v1	-0.076	1     	FALSE	-0.00051	1     	FALSE	0.076 	0.99  	FALSE
Glyma.01G022900.Wm82.a4.v1	-0.37 	1     	FALSE	-0.05 	0.99  	FALSE	0.32  	0.99  	FALSE
Glyma.01G023000.Wm82.a4.v1	0.019 	1     	FALSE	-0.31 	0.78  	FALSE	-0.32 	0.99  	FALSE
Glyma.01G023100.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.01G023200.Wm82.a4.v1	0.17  	1     	FALSE	0.26  	0.94  	FALSE	0.095 	0.99  	FALSE
Glyma.01G023300.Wm82.a4.v1	0.16  	1     	FALSE	0.21  	0.97  	FALSE	0.049 	1     	FALSE
Glyma.01G023400.Wm82.a4.v1	0.014 	NA    	NA	0.01  	NA    	NA	-0.0035	NA    	NA
