Geneid	cond_1v2_log2FC	cond_1v2_Padj	cond_1v2_Sig	cond_1v3_log2FC	cond_1v3_Padj	cond_1v3_Sig	cond_2v3_log2FC	cond_2v3_Padj	cond_2v3_Sig
Glyma.02G087100.Wm82.a4.v1	0.066 	1     	FALSE	0.13  	0.99  	FALSE	0.061 	1     	FALSE
Glyma.02G087200.Wm82.a4.v1	0.025 	NA    	NA	0.023 	NA    	NA	0     	NA    	NA
Glyma.02G087300.Wm82.a4.v1	-0.011	NA    	NA	0     	NA    	NA	0.0073	NA    	NA
Glyma.02G087400.Wm82.a4.v1	-0.23 	1     	FALSE	-0.13 	0.98  	FALSE	0.094 	0.99  	FALSE
Glyma.02G087500.Wm82.a4.v1	-0.12 	1     	FALSE	-0.052	0.99  	FALSE	0.063 	1     	FALSE
Glyma.02G087700.Wm82.a4.v1	0.017 	1     	FALSE	-0.099	0.99  	FALSE	-0.12 	0.99  	FALSE
Glyma.02G087800.Wm82.a4.v1	-0.2  	1     	FALSE	0.061 	0.99  	FALSE	0.27  	0.99  	FALSE
Glyma.02G087900.Wm82.a4.v1	0.038 	NA    	NA	0.035 	NA    	NA	-0.0027	NA    	NA
Glyma.02G088050.Wm82.a4.v1	0.21  	1     	FALSE	-0.075	0.99  	FALSE	-0.28 	0.99  	FALSE
Glyma.02G088200.Wm82.a4.v1	-0.19 	0.87  	FALSE	-0.16 	0.8   	FALSE	0.029 	1     	FALSE
Glyma.02G088300.Wm82.a4.v1	0.077 	1     	FALSE	0.19  	0.97  	FALSE	0.12  	0.99  	FALSE
Glyma.02G088400.Wm82.a4.v1	0.15  	NA    	NA	0.1   	NA    	NA	-0.047	NA    	NA
Glyma.02G088550.Wm82.a4.v1	0     	NA    	NA	-0.013	NA    	NA	-0.012	NA    	NA
Glyma.02G088600.Wm82.a4.v1	0.28  	0.96  	FALSE	0.057 	0.99  	FALSE	-0.22 	0.99  	FALSE
Glyma.02G088700.Wm82.a4.v1	0.3   	1     	FALSE	0.031 	1     	FALSE	-0.27 	0.99  	FALSE
Glyma.02G088800.Wm82.a4.v1	0.061 	1     	FALSE	0.2   	0.97  	FALSE	0.14  	0.99  	FALSE
Glyma.02G088900.Wm82.a4.v1	0.036 	1     	FALSE	0.056 	0.99  	FALSE	0.019 	1     	FALSE
Glyma.02G089000.Wm82.a4.v1	-0.16 	1     	FALSE	0.061 	0.99  	FALSE	0.22  	0.99  	FALSE
Glyma.02G089100.Wm82.a4.v1	-0.38 	0.71  	FALSE	-0.46 	0.33  	FALSE	-0.077	0.99  	FALSE
Glyma.02G089300.Wm82.a4.v1	0.11  	1     	FALSE	-0.033	0.99  	FALSE	-0.14 	0.99  	FALSE
Glyma.02G089400.Wm82.a4.v1	0.2   	1     	FALSE	0.0049	1     	FALSE	-0.19 	0.99  	FALSE
Glyma.02G089500.Wm82.a4.v1	0.25  	1     	FALSE	0.25  	0.92  	FALSE	0.0042	1     	FALSE
Glyma.02G089650.Wm82.a4.v1	-0.0015	NA    	NA	0.0058	NA    	NA	0.0073	NA    	NA
Glyma.02G089900.Wm82.a4.v1	0.054 	NA    	NA	0.035 	NA    	NA	-0.019	NA    	NA
Glyma.02G090000.Wm82.a4.v1	-0.087	1     	FALSE	-0.2  	0.97  	FALSE	-0.11 	0.99  	FALSE
Glyma.02G090100.Wm82.a4.v1	-0.15 	1     	FALSE	-0.31 	0.88  	FALSE	-0.17 	0.99  	FALSE
Glyma.02G090200.Wm82.a4.v1	-0.11 	1     	FALSE	-0.26 	0.85  	FALSE	-0.15 	0.99  	FALSE
Glyma.02G090266.Wm82.a4.v1	-0.0013	NA    	NA	-0.0044	NA    	NA	-0.0031	NA    	NA
Glyma.02G090332.Wm82.a4.v1	0.017 	NA    	NA	-0.01 	NA    	NA	-0.028	NA    	NA
