Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.06G130700.Wm82.a4.v1	10.08	10.39	9.93	8.86	9.07	8.49	10.52	10.26	7.33
Glyma.06G130800.Wm82.a4.v1	1.25	0.99	2.00	1.03	1.19	1.02	1.23	1.70	2.57
Glyma.06G130900.Wm82.a4.v1	0.13	0.14	0.18	0.17	0.14	0.04	0.38	0.21	0.11
Glyma.06G131000.Wm82.a4.v1	0.00	0.00	0.19	0.18	0.00	0.00	0.00	0.00	0.00
Glyma.06G131100.Wm82.a4.v1	41.49	44.23	32.02	49.20	47.40	39.21	46.82	36.17	25.45
Glyma.06G131200.Wm82.a4.v1	13.00	11.09	12.89	10.84	11.58	11.71	11.30	12.74	11.89
Glyma.06G131300.Wm82.a4.v1	2.75	2.75	2.36	3.84	3.30	2.05	4.11	2.16	0.54
Glyma.06G131400.Wm82.a4.v1	3.46	3.46	4.19	3.64	4.15	3.15	3.45	2.79	1.49
Glyma.06G131500.Wm82.a4.v1	11.31	11.36	9.63	8.96	11.46	8.70	11.93	9.87	6.72
Glyma.06G131600.Wm82.a4.v1	28.88	29.33	22.76	27.96	28.92	40.74	38.09	29.80	23.14
Glyma.06G131700.Wm82.a4.v1	10.70	11.14	12.72	13.67	13.41	10.46	14.95	10.61	11.18
Glyma.06G131800.Wm82.a4.v1	2.69	3.45	2.77	1.40	3.15	3.00	2.35	5.37	2.26
Glyma.06G131900.Wm82.a4.v1	35.97	38.47	50.80	38.98	33.37	35.86	32.25	36.07	49.06
Glyma.06G132000.Wm82.a4.v1	20.18	19.63	21.34	20.99	20.59	16.80	19.17	19.73	33.15
Glyma.06G132100.Wm82.a4.v1	7.73	8.92	7.12	8.04	8.18	8.05	9.46	6.30	6.03
Glyma.06G132200.Wm82.a4.v1	0.46	0.40	0.00	0.46	0.00	0.20	0.10	0.10	0.00
Glyma.06G132300.Wm82.a4.v1	4.22	4.30	3.33	4.01	4.46	3.60	4.69	3.41	2.64
Glyma.06G132400.Wm82.a4.v1	9.36	8.81	8.71	8.99	9.30	9.96	10.27	8.32	14.06
Glyma.06G132500.Wm82.a4.v1	84.98	89.39	70.79	90.93	103.05	71.71	80.90	88.96	81.51
Glyma.06G132600.Wm82.a4.v1	1.71	1.14	1.01	3.24	2.54	1.51	1.88	2.15	1.67
Glyma.06G132651.Wm82.a4.v1	1.76	1.83	1.04	1.24	2.40	1.15	1.45	0.91	1.58
Glyma.06G132700.Wm82.a4.v1	3.36	3.26	3.21	2.50	2.57	2.35	3.26	2.96	3.19
Glyma.06G132800.Wm82.a4.v1	17.85	18.02	16.62	14.99	18.11	18.74	18.93	18.27	15.09
Glyma.06G132900.Wm82.a4.v1	7.15	6.70	5.73	6.03	6.64	7.68	5.18	6.05	6.57
Glyma.06G133000.Wm82.a4.v1	17.04	17.01	13.05	11.20	13.24	11.46	14.76	16.78	10.46
Glyma.06G133100.Wm82.a4.v1	1.20	0.00	0.53	3.55	1.28	1.72	1.37	0.83	0.65
Glyma.06G133200.Wm82.a4.v1	0.71	2.05	0.32	0.30	0.76	0.00	1.36	0.99	0.38
Glyma.06G133300.Wm82.a4.v1	236.86	234.23	246.93	249.35	230.86	272.76	240.76	250.27	323.79
Glyma.06G133400.Wm82.a4.v1	13.62	14.19	13.18	14.39	13.74	12.13	15.41	16.63	8.64
Glyma.06G133500.Wm82.a4.v1	48.84	42.86	53.16	40.59	40.09	43.49	38.48	49.08	55.16
Glyma.06G133600.Wm82.a4.v1	129.52	139.93	139.04	143.45	140.37	122.04	117.00	145.14	201.91
Glyma.06G133700.Wm82.a4.v1	0.04	0.16	0.17	0.09	0.15	0.12	0.04	0.00	0.06
Glyma.06G133800.Wm82.a4.v1	6.72	6.03	7.85	3.75	7.73	12.18	11.36	10.98	7.75
Glyma.06G133900.Wm82.a4.v1	1.04	0.89	1.03	1.07	1.15	0.87	1.32	2.04	0.62
Glyma.06G134000.Wm82.a4.v1	18.34	15.45	16.47	15.74	18.77	19.54	22.56	15.04	23.86
Glyma.06G134100.Wm82.a4.v1	0.00	0.00	0.00	0.48	0.00	0.00	0.86	0.39	0.00
Glyma.06G134200.Wm82.a4.v1	8.46	8.46	9.12	7.48	8.79	9.05	9.31	6.94	5.31
Glyma.06G134300.Wm82.a4.v1	20.76	20.60	17.54	22.27	21.84	19.26	23.47	16.52	15.32
Glyma.06G134400.Wm82.a4.v1	0.09	0.00	0.00	0.00	0.05	0.05	0.00	0.00	0.07
Glyma.06G134500.Wm82.a4.v1	5.26	5.64	3.56	4.42	5.76	6.20	4.24	4.42	7.69
Glyma.06G134600.Wm82.a4.v1	0.04	0.18	0.14	0.05	0.09	0.04	0.05	0.09	0.13
Glyma.06G134700.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G134767.Wm82.a4.v1	0.17	0.24	0.00	0.00	0.00	0.00	0.19	0.00	0.27
Glyma.06G134833.Wm82.a4.v1	1.66	0.00	0.00	1.05	7.08	0.00	0.95	0.00	1.34
Glyma.06G134900.Wm82.a4.v1	0.54	0.88	0.76	0.68	1.47	0.99	0.96	0.48	1.61
Glyma.06G135000.Wm82.a4.v1	34.44	29.50	34.11	36.05	42.96	36.60	43.61	48.41	48.42
Glyma.06G135100.Wm82.a4.v1	58.57	61.34	49.50	60.01	55.56	62.93	67.28	55.24	48.96
Glyma.06G135200.Wm82.a4.v1	48.69	47.20	43.85	42.36	44.80	47.54	43.83	42.86	32.81
Glyma.06G135300.Wm82.a4.v1	31.85	29.88	28.33	30.53	31.68	32.58	31.90	30.49	30.70
Glyma.06G135500.Wm82.a4.v1	39.33	34.17	34.27	44.65	37.66	36.09	42.99	37.11	30.71
Glyma.06G135600.Wm82.a4.v1	5.73	5.00	4.36	5.49	6.14	4.37	5.47	5.06	3.54
Glyma.06G135800.Wm82.a4.v1	140.50	142.84	225.76	143.74	140.92	128.69	120.14	161.05	276.72
Glyma.06G135900.Wm82.a4.v1	2.91	2.67	4.58	2.68	1.98	2.84	5.44	2.75	11.53
Glyma.06G136000.Wm82.a4.v1	5.63	4.28	4.69	2.97	2.51	6.39	6.62	5.86	4.80
Glyma.06G136100.Wm82.a4.v1	0.89	0.52	0.48	0.00	0.00	0.19	0.20	0.19	0.29
Glyma.06G136200.Wm82.a4.v1	17.36	19.51	15.91	17.40	18.39	19.66	20.50	19.46	17.12
Glyma.06G136400.Wm82.a4.v1	4.84	4.55	5.06	4.71	5.08	4.94	4.52	5.32	4.39
Glyma.06G136500.Wm82.a4.v1	4.04	4.92	4.87	6.70	6.18	8.83	10.03	6.45	7.88
Glyma.06G136600.Wm82.a4.v1	6.43	5.71	5.50	14.12	14.23	12.77	25.24	11.84	9.22
Glyma.06G136700.Wm82.a4.v1	1.47	1.11	0.98	1.37	1.82	1.58	1.68	1.29	1.50
Glyma.06G136800.Wm82.a4.v1	6.23	8.14	9.15	8.47	9.49	9.54	23.86	8.64	9.32
Glyma.06G136900.Wm82.a4.v1	8.70	9.50	8.04	8.30	8.86	7.74	8.38	9.79	10.50
Glyma.06G137000.Wm82.a4.v1	2.01	2.16	1.45	0.57	1.89	0.32	1.27	2.17	2.03
Glyma.06G137100.Wm82.a4.v1	161.28	149.39	154.26	128.27	149.23	108.87	104.82	116.34	161.26
Glyma.06G137200.Wm82.a4.v1	0.76	0.73	0.80	0.08	0.75	0.41	0.58	0.40	0.31
Glyma.06G137300.Wm82.a4.v1	38.64	41.21	40.89	37.78	44.66	33.59	41.04	42.90	33.71
Glyma.06G137500.Wm82.a4.v1	1.43	0.17	0.64	0.30	0.25	1.03	0.95	0.25	1.73
Glyma.06G137600.Wm82.a4.v1	1.67	1.98	2.35	2.11	3.14	2.10	2.91	2.24	5.22
Glyma.06G137700.Wm82.a4.v1	145.57	143.46	162.68	141.88	141.61	147.14	143.56	151.09	181.62
Glyma.06G137800.Wm82.a4.v1	61.05	58.47	66.92	69.34	62.65	65.21	60.49	82.80	64.53
Glyma.06G137900.Wm82.a4.v1	0.06	0.00	0.17	0.16	0.07	0.20	0.14	0.13	0.10
Glyma.06G138000.Wm82.a4.v1	16.75	15.34	14.53	16.60	17.51	18.38	21.54	13.75	13.42
Glyma.06G138100.Wm82.a4.v1	21.64	22.53	19.38	19.94	23.54	20.11	22.28	18.82	21.92
Glyma.06G138200.Wm82.a4.v1	0.87	0.63	0.83	1.32	1.21	0.91	1.66	0.94	0.85
Glyma.06G138300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G138400.Wm82.a4.v1	264.72	276.05	306.30	272.72	277.31	259.95	234.53	285.48	404.47
Glyma.06G138500.Wm82.a4.v1	17.48	17.21	18.43	18.76	18.99	14.65	16.08	18.19	16.97
Glyma.06G138600.Wm82.a4.v1	123.48	134.41	164.38	145.60	142.04	111.46	100.11	154.06	203.16
Glyma.06G138700.Wm82.a4.v1	307.50	323.66	383.14	298.64	328.43	315.29	307.53	336.57	600.91
Glyma.06G138800.Wm82.a4.v1	8.41	8.72	7.98	8.60	6.18	7.80	7.23	10.43	5.33
Glyma.06G138900.Wm82.a4.v1	114.79	113.95	82.57	116.08	110.40	113.07	124.20	105.11	105.45
Glyma.06G139000.Wm82.a4.v1	0.18	0.27	0.03	0.18	0.15	0.10	0.53	0.29	0.15
Glyma.06G139100.Wm82.a4.v1	7.50	7.68	6.06	8.25	7.36	6.78	8.46	6.39	6.42
Glyma.06G139200.Wm82.a4.v1	35.72	32.43	36.67	32.93	32.49	36.26	31.80	30.50	44.29
Glyma.06G139300.Wm82.a4.v1	41.71	34.50	48.93	56.33	40.09	61.53	54.05	48.78	53.84
Glyma.06G139400.Wm82.a4.v1	1.43	1.03	0.89	1.83	1.40	1.23	1.52	1.33	0.58
Glyma.06G139500.Wm82.a4.v1	0.00	0.00	0.03	0.00	0.00	0.02	0.13	0.00	0.00
Glyma.06G139600.Wm82.a4.v1	1.34	1.45	0.79	1.66	1.64	1.28	1.57	1.00	0.35
Glyma.06G139700.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G139800.Wm82.a4.v1	16.81	16.92	15.61	18.03	18.13	13.47	19.48	16.72	11.57
Glyma.06G139900.Wm82.a4.v1	26.66	26.97	23.91	26.70	26.95	29.23	32.44	25.63	24.87
Glyma.06G140000.Wm82.a4.v1	6.33	6.54	6.39	7.90	7.67	6.66	8.13	5.78	4.78
Glyma.06G140100.Wm82.a4.v1	1.42	1.50	1.33	0.36	1.01	0.71	0.87	0.99	0.61
Glyma.06G140200.Wm82.a4.v1	5.40	5.96	3.55	5.09	4.79	6.21	6.30	4.26	5.26
Glyma.06G140300.Wm82.a4.v1	15.64	17.14	14.55	13.11	13.51	19.04	14.03	12.59	17.28
Glyma.06G140400.Wm82.a4.v1	9.79	11.69	8.61	9.51	11.27	12.47	14.74	8.94	6.65
Glyma.06G140450.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G140500.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G140600.Wm82.a4.v1	8.10	8.18	6.75	7.50	8.33	7.57	8.00	7.58	4.85
Glyma.06G140800.Wm82.a4.v1	0.22	0.31	0.21	0.12	0.20	0.50	0.07	0.32	0.35
Glyma.06G140900.Wm82.a4.v1	67.65	69.02	70.33	73.47	62.39	61.67	51.68	65.37	108.82
Glyma.06G141000.Wm82.a4.v1	12.21	11.81	13.68	13.32	13.79	14.02	12.26	13.58	14.98
Glyma.06G141100.Wm82.a4.v1	6.77	7.04	6.21	6.90	7.83	8.09	8.48	6.75	7.99
Glyma.06G141200.Wm82.a4.v1	16.26	16.91	14.62	20.32	20.34	21.51	26.25	19.98	21.11
Glyma.06G141300.Wm82.a4.v1	13.59	14.61	15.09	14.33	16.84	11.81	12.62	13.05	17.68
Glyma.06G141400.Wm82.a4.v1	0.67	1.05	0.99	0.78	1.11	1.36	1.19	0.47	0.63
Glyma.06G141500.Wm82.a4.v1	24.83	23.24	27.23	25.86	23.79	22.26	23.02	25.83	32.62
Glyma.06G141600.Wm82.a4.v1	0.59	0.28	1.71	0.75	0.84	0.00	1.57	0.61	0.64
Glyma.06G141700.Wm82.a4.v1	17.53	18.29	19.88	18.61	14.92	18.04	16.75	16.87	19.88
Glyma.06G141801.Wm82.a4.v1	0.18	0.13	0.06	0.00	0.29	0.00	0.10	0.00	0.00
Glyma.06G141900.Wm82.a4.v1	42.14	42.04	69.00	39.10	44.05	43.49	39.35	49.12	93.86
Glyma.06G142000.Wm82.a4.v1	24.06	25.01	21.44	17.90	21.70	23.13	22.37	20.03	29.07
Glyma.06G142100.Wm82.a4.v1	0.05	0.08	0.09	0.03	0.06	0.00	0.03	0.03	0.00
Glyma.06G142200.Wm82.a4.v1	7.12	7.74	7.43	9.36	6.32	11.70	5.99	10.07	11.73
Glyma.06G142300.Wm82.a4.v1	5.95	6.51	6.60	6.12	5.29	9.45	16.78	7.15	7.11
Glyma.06G142400.Wm82.a4.v1	15.95	16.08	14.07	17.64	16.78	15.16	15.97	16.74	17.07
Glyma.06G142500.Wm82.a4.v1	21.11	22.14	19.59	27.84	24.44	17.42	21.54	19.19	18.72
Glyma.06G142700.Wm82.a4.v1	5.55	6.65	5.16	6.56	6.09	6.43	6.78	6.01	4.23
Glyma.06G142800.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G142900.Wm82.a4.v1	76.25	74.05	107.02	98.81	73.50	72.41	102.39	67.89	61.00
Glyma.06G143000.Wm82.a4.v1	546.80	506.72	529.53	452.82	517.87	441.00	364.97	467.69	827.94
Glyma.06G143100.Wm82.a4.v1	0.25	0.24	0.33	0.32	0.27	0.63	0.67	0.09	0.27
Glyma.06G143200.Wm82.a4.v1	3.38	2.33	2.28	4.63	2.82	3.58	2.96	3.18	1.05
Glyma.06G143300.Wm82.a4.v1	160.12	155.65	122.56	152.43	150.92	98.76	120.75	200.09	118.74
Glyma.06G143400.Wm82.a4.v1	5.91	4.97	5.11	5.78	6.15	5.36	5.41	5.35	6.20
Glyma.06G143500.Wm82.a4.v1	3.67	3.64	3.08	3.83	4.24	3.59	4.00	3.54	2.31
Glyma.06G143600.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G143700.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00
Glyma.06G143800.Wm82.a4.v1	16.45	18.14	15.10	19.61	19.72	17.40	27.83	16.82	14.39
Glyma.06G143900.Wm82.a4.v1	1.58	1.14	0.70	0.84	0.85	1.70	2.41	2.34	2.99
Glyma.06G144000.Wm82.a4.v1	26.32	26.01	31.81	22.42	35.87	19.21	19.28	36.85	23.17
Glyma.06G144100.Wm82.a4.v1	10.30	10.12	7.93	7.40	8.59	10.41	8.74	8.73	6.81
Glyma.06G144200.Wm82.a4.v1	1.89	1.75	1.89	2.68	2.80	2.76	2.78	1.60	2.55
Glyma.06G144300.Wm82.a4.v1	0.03	0.00	0.04	0.15	0.12	0.06	0.07	0.03	0.05
Glyma.06G144400.Wm82.a4.v1	143.00	148.13	164.32	149.42	130.34	160.03	140.48	151.40	165.63
Glyma.06G144500.Wm82.a4.v1	77.68	74.42	76.62	72.82	70.95	75.59	69.51	67.71	89.63
Glyma.06G144600.Wm82.a4.v1	36.18	36.96	24.69	37.17	39.25	33.39	36.79	37.89	14.46
Glyma.06G144700.Wm82.a4.v1	1.06	0.84	0.51	0.97	1.21	0.98	0.75	1.18	1.18
Glyma.06G144800.Wm82.a4.v1	0.11	0.00	0.21	0.13	0.00	0.23	0.24	0.11	0.00
Glyma.06G144900.Wm82.a4.v1	0.11	0.08	0.30	0.00	0.18	0.25	0.00	0.06	0.18
Glyma.06G145000.Wm82.a4.v1	5.83	5.60	6.44	4.70	5.07	5.57	4.98	4.13	6.35
Glyma.06G145100.Wm82.a4.v1	16.29	14.03	18.90	15.28	16.95	15.99	18.90	15.55	10.10
Glyma.06G145200.Wm82.a4.v1	0.00	0.08	0.04	0.00	0.02	0.00	0.06	0.00	0.02
Glyma.06G145300.Wm82.a4.v1	37.80	34.24	30.82	11.73	30.49	28.78	24.09	50.63	27.12
Glyma.06G145400.Wm82.a4.v1	2.64	3.08	1.93	3.11	1.82	1.42	3.09	3.34	1.12
Glyma.06G145500.Wm82.a4.v1	6.65	5.98	5.35	5.79	7.02	4.76	5.45	6.92	4.81
Glyma.06G145600.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G145700.Wm82.a4.v1	2.83	3.06	3.06	3.47	2.93	3.75	4.78	2.41	1.87
Glyma.06G145800.Wm82.a4.v1	7.22	6.78	5.53	8.08	9.38	9.17	9.12	7.76	6.70
Glyma.06G145900.Wm82.a4.v1	3.51	3.49	2.73	3.69	3.12	3.11	3.76	2.43	2.32
Glyma.06G146000.Wm82.a4.v1	23.37	28.13	23.76	32.86	29.87	26.14	27.81	30.24	20.20
Glyma.06G146100.Wm82.a4.v1	2.11	2.89	1.80	1.47	2.03	2.10	1.87	2.20	0.68
Glyma.06G146200.Wm82.a4.v1	11.78	11.73	11.54	12.06	15.91	8.74	14.05	7.93	4.48
Glyma.06G146300.Wm82.a4.v1	1.95	1.20	1.23	1.52	1.58	1.49	0.95	1.45	0.90
Glyma.06G146400.Wm82.a4.v1	3.58	4.26	4.02	4.80	3.91	3.45	3.59	3.73	3.84
Glyma.06G146500.Wm82.a4.v1	25.67	26.83	22.40	25.78	22.33	27.09	24.75	22.13	19.08
Glyma.06G146566.Wm82.a4.v1	0.85	1.40	0.81	1.46	2.28	0.39	0.77	0.57	0.98
Glyma.06G146632.Wm82.a4.v1	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G146700.Wm82.a4.v1	8.88	9.07	9.55	9.16	9.01	7.82	8.72	9.62	9.58
Glyma.06G146800.Wm82.a4.v1	64.26	57.87	69.27	60.75	65.57	63.68	55.49	59.23	68.89
Glyma.06G146900.Wm82.a4.v1	8.97	7.25	8.05	6.59	7.74	8.65	9.86	7.51	3.85
Glyma.06G147000.Wm82.a4.v1	0.09	0.26	0.06	0.39	0.10	0.19	0.46	0.09	0.00
Glyma.06G147100.Wm82.a4.v1	8.13	9.64	7.60	8.21	10.21	16.69	23.63	11.96	18.98
Glyma.06G147200.Wm82.a4.v1	0.12	0.00	0.00	0.00	0.00	0.25	0.79	0.00	0.00
Glyma.06G147300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.22	0.09
Glyma.06G147400.Wm82.a4.v1	8.37	8.30	6.41	9.36	8.61	8.02	9.88	8.45	5.10
Glyma.06G147500.Wm82.a4.v1	0.97	0.73	0.60	0.64	1.04	0.63	1.64	0.61	0.57
Glyma.06G147600.Wm82.a4.v1	16.65	15.94	18.63	21.08	19.26	12.99	20.95	12.37	12.79
Glyma.06G147800.Wm82.a4.v1	21.72	21.52	21.92	22.24	21.42	21.56	22.13	20.78	25.72
Glyma.06G147900.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G148000.Wm82.a4.v1	7.53	14.24	13.33	11.62	11.07	17.71	23.41	17.88	21.68
Glyma.06G148100.Wm82.a4.v1	0.00	0.39	0.06	0.11	0.00	0.00	0.00	0.28	0.00
Glyma.06G148200.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G148300.Wm82.a4.v1	4.54	3.77	4.24	4.67	4.26	4.35	4.24	4.41	6.30
Glyma.06G148400.Wm82.a4.v1	0.13	0.29	0.09	0.25	0.29	0.14	0.15	0.21	0.11
Glyma.06G148500.Wm82.a4.v1	14.01	13.01	12.54	13.41	12.96	9.64	11.18	12.31	10.15
Glyma.06G148600.Wm82.a4.v1	12.11	14.95	9.66	15.33	15.49	16.76	15.56	14.23	10.34
Glyma.06G148700.Wm82.a4.v1	12.61	11.29	13.32	11.90	11.83	10.84	12.85	9.53	5.82
Glyma.06G148800.Wm82.a4.v1	11.61	14.69	15.10	15.36	13.57	17.89	14.19	15.73	9.70
Glyma.06G148900.Wm82.a4.v1	5.59	6.96	4.06	5.15	5.43	5.73	5.81	4.23	9.85
Glyma.06G149000.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G149040.Wm82.a4.v1	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G149080.Wm82.a4.v1	2.01	2.41	2.08	1.41	1.07	0.36	1.40	0.23	2.88
Glyma.06G149120.Wm82.a4.v1	0.00	0.00	0.17	0.11	0.00	0.00	0.00	0.18	0.00
Glyma.06G149160.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.16	0.00
Glyma.06G149200.Wm82.a4.v1	27.24	27.37	29.32	33.06	31.09	39.19	42.92	28.76	15.05
Glyma.06G149301.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G149402.Wm82.a4.v1	0.83	0.93	0.62	0.12	0.30	0.84	1.11	0.29	0.67
Glyma.06G149500.Wm82.a4.v1	5.94	6.36	4.52	3.69	4.95	3.96	5.50	3.76	2.95
Glyma.06G149600.Wm82.a4.v1	0.85	1.07	0.49	0.13	0.57	1.08	0.42	0.88	2.31
Glyma.06G149702.Wm82.a4.v1	0.06	0.00	0.06	0.00	0.07	0.03	0.00	0.07	0.00
Glyma.06G149800.Wm82.a4.v1	3.95	6.78	7.29	8.70	5.85	5.47	7.27	5.43	3.91
Glyma.06G149900.Wm82.a4.v1	11.60	11.14	10.09	10.95	9.87	10.45	11.85	8.55	8.51
Glyma.06G150000.Wm82.a4.v1	29.02	32.52	28.01	31.22	26.72	28.80	30.53	28.23	31.24
Glyma.06G150100.Wm82.a4.v1	112.94	120.88	117.12	153.25	134.05	132.43	149.17	136.82	98.91
Glyma.06G150200.Wm82.a4.v1	2.83	1.36	1.88	4.77	3.02	0.00	4.31	1.96	3.04
Glyma.06G150300.Wm82.a4.v1	44.91	48.49	41.64	45.78	35.11	77.94	65.91	42.54	59.74
Glyma.06G150400.Wm82.a4.v1	2.82	3.10	3.58	3.23	3.87	6.78	6.60	3.77	4.34
Glyma.06G150500.Wm82.a4.v1	77.32	85.79	20.80	156.23	93.40	199.17	159.18	91.92	48.88
Glyma.06G150550.Wm82.a4.v1	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00
Glyma.06G150600.Wm82.a4.v1	29.83	33.55	20.85	28.55	31.10	25.02	52.40	15.90	0.00
Glyma.06G150701.Wm82.a4.v1	17.25	13.67	8.15	19.75	21.94	15.39	28.57	12.62	3.39
Glyma.06G150801.Wm82.a4.v1	11.61	12.25	11.55	14.09	13.83	10.62	13.07	10.49	9.40
Glyma.06G150900.Wm82.a4.v1	33.47	35.14	39.78	43.62	34.09	41.14	39.55	33.49	40.32
Glyma.06G151000.Wm82.a4.v1	2.13	2.49	1.55	2.75	2.66	2.12	3.08	2.43	1.56
Glyma.06G151100.Wm82.a4.v1	0.16	0.23	0.11	0.20	0.34	0.00	0.00	0.33	0.00
Glyma.06G151200.Wm82.a4.v1	13.52	15.99	15.10	17.35	15.84	13.53	12.15	14.84	13.26
Glyma.06G151300.Wm82.a4.v1	1.29	1.31	1.34	2.51	2.39	1.54	3.12	1.86	1.39
Glyma.06G151400.Wm82.a4.v1	6.36	3.26	8.10	7.70	6.35	8.05	7.11	5.44	6.40
Glyma.06G151500.Wm82.a4.v1	5.42	5.69	4.57	5.31	5.87	3.53	5.28	4.88	3.96
Glyma.06G151700.Wm82.a4.v1	14.64	17.30	15.62	15.99	14.21	14.60	16.24	16.28	17.32
Glyma.06G151800.Wm82.a4.v1	0.30	0.00	0.00	0.56	0.16	0.00	0.00	0.00	0.00
Glyma.06G151900.Wm82.a4.v1	0.47	0.41	0.23	0.36	0.33	0.31	0.33	0.36	0.50
Glyma.06G152000.Wm82.a4.v1	4.43	3.88	3.99	5.44	4.69	2.85	3.86	4.47	4.35
Glyma.06G152100.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G152200.Wm82.a4.v1	8.11	7.42	6.29	8.81	8.42	8.35	9.04	6.46	4.28
Glyma.06G152300.Wm82.a4.v1	0.48	0.28	0.26	0.49	0.82	1.24	2.08	0.90	1.08
Glyma.06G152400.Wm82.a4.v1	3.04	1.99	1.56	2.80	1.77	3.41	1.10	4.31	2.68
Glyma.06G152500.Wm82.a4.v1	6.54	6.56	5.79	6.55	8.27	5.72	7.92	5.05	5.29
Glyma.06G152600.Wm82.a4.v1	4.11	3.87	3.60	4.51	5.37	3.54	4.37	4.59	2.14
Glyma.06G152700.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G152800.Wm82.a4.v1	2.75	3.06	2.59	3.37	3.44	3.14	3.96	2.45	2.07
Glyma.06G152900.Wm82.a4.v1	26.12	30.14	23.42	29.30	25.83	25.13	32.21	26.01	14.53
Glyma.06G153000.Wm82.a4.v1	2.26	1.79	2.44	2.05	1.84	2.61	1.79	2.02	1.92
Glyma.06G153101.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G153200.Wm82.a4.v1	20.07	17.79	20.14	19.01	21.96	17.16	22.92	16.27	12.56
Glyma.06G153300.Wm82.a4.v1	1.30	0.91	0.84	1.02	1.63	0.97	1.08	1.40	0.73
Glyma.06G153400.Wm82.a4.v1	0.18	0.89	0.41	0.22	0.85	0.76	0.20	0.09	0.43
Glyma.06G153500.Wm82.a4.v1	5.21	4.93	4.61	5.81	4.72	5.56	4.86	5.47	5.93
Glyma.06G153600.Wm82.a4.v1	8.53	7.51	5.79	7.40	8.13	6.90	5.21	7.12	5.36
Glyma.06G153700.Wm82.a4.v1	23.50	25.08	21.61	24.38	19.53	26.31	24.87	26.94	25.67
Glyma.06G153800.Wm82.a4.v1	8.12	6.22	5.18	6.12	7.20	7.42	11.45	10.42	5.58
Glyma.06G153900.Wm82.a4.v1	5.39	6.56	4.69	5.37	4.87	4.55	5.57	6.09	3.96
Glyma.06G154000.Wm82.a4.v1	0.21	0.25	0.26	0.22	0.23	0.19	0.32	0.11	0.23
Glyma.06G154100.Wm82.a4.v1	1.44	1.85	0.70	1.24	0.81	0.16	1.04	1.10	1.10
Glyma.06G154166.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G154232.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.06G154300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.10	0.00
Glyma.06G154400.Wm82.a4.v1	2.36	2.27	2.25	3.70	1.20	3.50	4.24	1.99	3.63
Glyma.06G154500.Wm82.a4.v1	1.18	1.04	0.57	1.99	1.54	1.69	0.97	1.43	1.38
Glyma.06G154600.Wm82.a4.v1	1.75	1.48	1.03	1.82	1.43	1.22	1.12	1.34	1.58
Glyma.06G154700.Wm82.a4.v1	0.59	0.24	0.39	0.43	0.36	1.00	0.87	0.09	2.46
Glyma.06G154800.Wm82.a4.v1	38.32	35.83	35.90	31.81	39.60	25.87	28.11	34.30	21.66
Glyma.06G154900.Wm82.a4.v1	0.28	0.00	0.18	0.00	0.00	0.15	0.16	0.14	0.22
