Geneid	NPYCT	NPYCU	NSNCH	NPYCW	NPYCX	NPYCZ	NPYCY	NPYGA	NPYGB
Glyma.01G005000.Wm82.a4.v1	30.86	32.54	40.78	35.95	32.02	59.18	48.81	38.69	22.88
Glyma.01G005100.Wm82.a4.v1	0.25	0.29	0.34	0.51	0.22	1.52	0.46	0.05	0.00
Glyma.01G005200.Wm82.a4.v1	5.32	5.14	5.01	5.85	6.76	5.57	5.35	7.21	3.96
Glyma.01G005300.Wm82.a4.v1	33.03	38.40	38.33	37.78	35.14	38.29	35.93	34.06	48.10
Glyma.01G005400.Wm82.a4.v1	1.12	1.30	1.65	2.53	1.71	1.60	1.45	2.11	1.09
Glyma.01G005500.Wm82.a4.v1	0.67	0.49	0.52	0.64	0.54	0.54	0.62	0.36	0.13
Glyma.01G005600.Wm82.a4.v1	1.04	0.86	1.32	1.18	1.08	1.24	1.07	1.44	0.12
Glyma.01G005800.Wm82.a4.v1	1.68	2.00	1.54	3.08	1.96	1.33	2.57	1.84	2.04
Glyma.01G005900.Wm82.a4.v1	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G006000.Wm82.a4.v1	4.15	2.10	2.69	7.24	6.95	11.08	15.38	1.28	4.89
Glyma.01G006100.Wm82.a4.v1	6.49	5.64	5.30	7.32	6.92	7.38	8.74	5.59	3.56
Glyma.01G006200.Wm82.a4.v1	57.54	53.48	85.79	59.81	50.88	98.39	87.09	56.54	123.89
Glyma.01G006300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G006400.Wm82.a4.v1	15.89	15.23	14.49	15.93	14.47	11.54	15.13	10.84	14.56
Glyma.01G006500.Wm82.a4.v1	3.22	3.55	2.86	5.49	4.19	4.45	7.22	3.62	1.51
Glyma.01G006600.Wm82.a4.v1	3.80	4.05	3.68	4.49	4.36	4.20	4.27	3.05	1.24
Glyma.01G006700.Wm82.a4.v1	5.35	4.59	4.80	4.41	4.90	5.62	6.29	3.70	2.49
Glyma.01G006800.Wm82.a4.v1	7.71	8.88	7.72	6.98	7.78	6.06	6.16	5.96	8.21
Glyma.01G006900.Wm82.a4.v1	33.12	34.30	28.75	33.20	33.57	37.00	37.56	34.36	23.49
Glyma.01G007000.Wm82.a4.v1	1.21	0.97	1.48	1.02	1.87	1.01	1.08	0.98	0.54
Glyma.01G007100.Wm82.a4.v1	1.61	1.55	1.86	1.90	1.26	1.15	1.23	0.67	0.69
Glyma.01G007200.Wm82.a4.v1	33.21	32.35	32.32	30.06	32.24	26.30	31.62	30.10	23.74
Glyma.01G007300.Wm82.a4.v1	14.74	14.51	14.47	12.65	13.10	12.53	12.21	10.66	9.49
Glyma.01G007400.Wm82.a4.v1	14.42	13.35	13.76	16.89	19.13	11.76	15.71	13.88	13.23
Glyma.01G007500.Wm82.a4.v1	3.60	3.18	2.70	2.75	3.77	3.99	2.90	1.80	1.96
Glyma.01G007600.Wm82.a4.v1	0.10	0.05	0.11	0.00	0.03	0.17	0.25	0.03	0.00
Glyma.01G007650.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G007700.Wm82.a4.v1	15.23	15.30	23.85	15.59	16.63	14.69	13.75	14.28	12.93
Glyma.01G007800.Wm82.a4.v1	8.87	10.70	9.47	9.17	10.51	5.23	8.55	8.21	8.67
Glyma.01G007900.Wm82.a4.v1	0.00	0.04	0.00	0.00	0.00	0.03	0.00	0.03	0.00
Glyma.01G008000.Wm82.a4.v1	9.12	8.81	8.85	9.62	10.21	9.32	8.78	11.36	12.21
Glyma.01G008100.Wm82.a4.v1	0.62	0.47	0.37	0.05	0.66	0.55	0.79	0.27	0.30
Glyma.01G008200.Wm82.a4.v1	0.96	0.93	1.02	0.23	0.70	0.27	0.50	0.27	0.73
Glyma.01G008300.Wm82.a4.v1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Glyma.01G008400.Wm82.a4.v1	14.01	14.26	15.14	20.34	16.57	21.69	22.53	15.02	13.89
